setting,label,turkish,espresso,aeropress,moka_pot,drip_coffe_maker,siphon,pour_over,french_press
1,1,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
2,2,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
3,3,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
4,4,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
5,5,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
6,6,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
7,7,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
8,8,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
9,9,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE
10,10,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE
11,11,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE
12,12,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE
13,13,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
14,14,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
15,15,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE
16,16,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE
17,17,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE
18,18,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE
19,19,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
20,20,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
21,21,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
22,22,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
23,23,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
24,24,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
25,25,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
26,26,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
27,27,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
28,28,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
29,29,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
30,30,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
31,31,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
32,32,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
33,33,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
34,34,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
35,35,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
36,36,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
37,37,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
38,38,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
39,39,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
40,40,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
41,41,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
42,42,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
43,43,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
44,44,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
45,45,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
46,46,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
47,47,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
48,48,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE
49,49,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
50,50,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE
